Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
08325;      Rottweil, Landkreis;73,3;/;81,2;61,4;/;/;/;/;41,5;406,7
08326;      Schwarzwald-Baar-Kreis, Landkreis;/;/;/;/;/;/;/;/;/;/
08327;      Tuttlingen, Landkreis;76,9;/;69,7;53,2;/;69,2;/;/;41,4;456,5
08335;      Konstanz, Landkreis;52,6;/;/;/;47,9;/;/;/;/;388,3
08336;      Lörrach, Landkreis;/;/;/;/;/;/;/;/;/;/
08337;      Waldshut, Landkreis;87,4;/;70;47,2;60,1;73,7;/;/;/;361,4
08415;      Reutlingen, Landkreis;67,1;/;72,9;51,8;54,1;73,3;195,8;/;33,3;369,5
08416;      Tübingen, Landkreis;75,2;/;80,3;56,2;45,7;/;/;/;46,6;/
08417;      Zollernalbkreis, Landkreis;69,9;/;62,3;/;54,4;63,6;/;-;37,9;376,8
08421;      Ulm, Stadtkreis;/;/;/;/;/;/;/;/;/;/
08425;      Alb-Donau-Kreis, Landkreis;81,6;/;75,5;65,9;/;83,4;/;/;45,5;443,2
08426;      Biberach, Landkreis;86,8;/;76,5;65,1;82,8;79,4;/;/;43,9;511,1
08435;      Bodenseekreis, Landkreis;/;/;69,7;/;/;/;/;/;/;/
08436;      Ravensburg, Landkreis;87,2;51,9;80,5;/;/;79,2;/;/;/;482,6
08437;      Sigmaringen, Landkreis;86;/;78,9;58,6;65;/;/;/;41,1;413,6
2021;;;;;;;;;;;
08111;      Stuttgart, Stadtkreis;/;/;/;57,2;/;-;/;830,5;-;/
08115;      Böblingen, Landkreis;69,7;/;62,6;61,8;/;/;/;/;37,2;/
08116;      Esslingen, Landkreis;60,7;/;45,8;/;/;/;/;/;/;506,5
08117;      Göppingen, Landkreis;69,5;/;74,3;/;/;/;/;-;/;513,4
08118;      Ludwigsburg, Landkreis;69,7;/;79,2;54,9;60,1;/;381,8;818,8;/;561,2
08119;      Rems-Murr-Kreis, Landkreis;64,1;/;63;/;57,2;66;315,7;/;/;478,1
08121;      Heilbronn, Stadtkreis;/;-;-;/;/;-;/;/;/;/
08125;      Heilbronn, Landkreis;70,1;/;75,9;59,1;43,5;/;424,2;851;37,7;529,6
08126;      Hohenlohekreis, Landkreis;65,7;/;69,5;48,6;41,5;/;/;860;38,6;584,5
08127;      Schwäbisch Hall, Landkreis;70;/;70,8;54,4;50,5;64,1;/;/;39,4;523,2
08128;      Main-Tauber-Kreis, Landkreis;62,5;41,1;69,2;52,1;44,1;38;158,5;893,8;34,6;521,9
08135;      Heidenheim, Landkreis;59,5;/;/;/;/;/;/;/;/;/
08136;      Ostalbkreis, Landkreis;68,4;/;76,6;50,2;46,7;/;/;/;32,1;464,9
08211;      Baden-Baden, Stadtkreis;/;/;/;/;/;-;/;-;-;/
08212;      Karlsruhe, Stadtkreis;/;/;/;/;/;/;/;-;-;/
08215;      Karlsruhe, Landkreis;59,9;59,6;67,8;52,5;45,9;/;465,4;864;36,6;/
08216;      Rastatt, Landkreis;59,2;/;/;/;/;/;/;-;-;/
08221;      Heidelberg, Stadtkreis;/;/;/;/;/;-;/;/;/;/
08222;      Mannheim, Stadtkreis;/;/;/;/;/;-;/;/;/;/
08225;      Neckar-Odenwald-Kreis, Landkreis;64,4;/;64,1;48,5;45,1;57,3;/;739,5;35;484,9
08226;      Rhein-Neckar-Kreis, Landkreis;69,1;63,1;70,4;51,1;66,9;/;/;893,4;35,8;392,9
08231;      Pforzheim, Stadtkreis;/;/;-;-;/;-;-;-;-;/
08235;      Calw, Landkreis;/;/;/;/;/;/;/;/;/;/
08236;      Enzkreis, Landkreis;68,5;/;72,8;/;/;/;/;/;38,7;450,9
08237;      Freudenstadt, Landkreis;70,7;/;62,4;/;52,6;57,9;232,1;-;40,2;547,1
08311;      Freiburg im Breisgau, Stadtkreis;/;/;/;-;/;/;/;-;-;/
