,Jahr,Kreis-Id, Stadt,Winterweizen
570,2013,08325,"      Rottweil, Landkreis",62.1
571,2013,08326,"      Schwarzwald-Baar-Kreis, Landkreis",74.8
572,2013,08327,"      Tuttlingen, Landkreis",61.2
573,2013,08335,"      Konstanz, Landkreis",60.1
575,2013,08337,"      Waldshut, Landkreis",73.3
576,2013,08415,"      Reutlingen, Landkreis",55.1
577,2013,08416,"      Tübingen, Landkreis",55.1
578,2013,08417,"      Zollernalbkreis, Landkreis",49.6
580,2013,08425,"      Alb-Donau-Kreis, Landkreis",79.7
581,2013,08426,"      Biberach, Landkreis",82.7
582,2013,08435,"      Bodenseekreis, Landkreis",73.7
583,2013,08436,"      Ravensburg, Landkreis",84.5
584,2013,08437,"      Sigmaringen, Landkreis",80.2
587,2012,08115,"      Böblingen, Landkreis",77.7
588,2012,08116,"      Esslingen, Landkreis",61.7
589,2012,08117,"      Göppingen, Landkreis",68.8
590,2012,08118,"      Ludwigsburg, Landkreis",69.4
591,2012,08119,"      Rems-Murr-Kreis, Landkreis",61.7
593,2012,08125,"      Heilbronn, Landkreis",67.1
594,2012,08126,"      Hohenlohekreis, Landkreis",57.6
595,2012,08127,"      Schwäbisch Hall, Landkreis",61.6
596,2012,08128,"      Main-Tauber-Kreis, Landkreis",49.1
597,2012,08135,"      Heidenheim, Landkreis",74.3
598,2012,08136,"      Ostalbkreis, Landkreis",77.0
601,2012,08215,"      Karlsruhe, Landkreis",70.1
605,2012,08225,"      Neckar-Odenwald-Kreis, Landkreis",55.2
606,2012,08226,"      Rhein-Neckar-Kreis, Landkreis",68.9
608,2012,08235,"      Calw, Landkreis",69.6
609,2012,08236,"      Enzkreis, Landkreis",73.8
610,2012,08237,"      Freudenstadt, Landkreis",78.9
612,2012,08315,"      Breisgau-Hochschwarzwald, Landkreis",79.8
613,2012,08316,"      Emmendingen, Landkreis",71.1
614,2012,08317,"      Ortenaukreis, Landkreis",71.2
615,2012,08325,"      Rottweil, Landkreis",74.4
616,2012,08326,"      Schwarzwald-Baar-Kreis, Landkreis",74.7
617,2012,08327,"      Tuttlingen, Landkreis",72.3
618,2012,08335,"      Konstanz, Landkreis",68.4
620,2012,08337,"      Waldshut, Landkreis",66.4
621,2012,08415,"      Reutlingen, Landkreis",62.9
622,2012,08416,"      Tübingen, Landkreis",65.4
623,2012,08417,"      Zollernalbkreis, Landkreis",63.2
625,2012,08425,"      Alb-Donau-Kreis, Landkreis",76.0
626,2012,08426,"      Biberach, Landkreis",78.7
627,2012,08435,"      Bodenseekreis, Landkreis",76.8
628,2012,08436,"      Ravensburg, Landkreis",76.5
629,2012,08437,"      Sigmaringen, Landkreis",79.9
632,2011,08115,"      Böblingen, Landkreis",82.6
633,2011,08116,"      Esslingen, Landkreis",67.9
634,2011,08117,"      Göppingen, Landkreis",81.3
635,2011,08118,"      Ludwigsburg, Landkreis",75.6
636,2011,08119,"      Rems-Murr-Kreis, Landkreis",65.4
638,2011,08125,"      Heilbronn, Landkreis",71.9
639,2011,08126,"      Hohenlohekreis, Landkreis",60.7
640,2011,08127,"      Schwäbisch Hall, Landkreis",78.6
641,2011,08128,"      Main-Tauber-Kreis, Landkreis",54.8
642,2011,08135,"      Heidenheim, Landkreis",59.7
643,2011,08136,"      Ostalbkreis, Landkreis",71.6
646,2011,08215,"      Karlsruhe, Landkreis",62.7
650,2011,08225,"      Neckar-Odenwald-Kreis, Landkreis",61.9
651,2011,08226,"      Rhein-Neckar-Kreis, Landkreis",61.1
653,2011,08235,"      Calw, Landkreis",88.8
